,Time,Vertical Disp
3180,8.021351329,-0.013269724
3181,8.023873592,-0.013262044
3182,8.026395861,-0.013254729
3183,8.028917938,-0.013248012
3184,8.031440015,-0.01324219
3185,8.033961977,-0.013237194
3186,8.036483938,-0.013233167
3187,8.039006477,-0.013230381
3188,8.041529016,-0.013228865
3189,8.044052674,-0.013228535
3190,8.046576329,-0.01322928
3191,8.04909879,-0.013231067
3192,8.051621251,-0.013233965
3193,8.054143943,-0.013237994
3194,8.056666636,-0.013243077
3195,8.059188828,-0.013249172
3196,8.061711021,-0.013256458
3197,8.064232673,-0.01326492
3198,8.066754328,-0.013274355
3199,8.069276058,-0.013284694
3200,8.071797789,-0.013295762
3201,8.074319486,-0.01330718
3202,8.076841179,-0.013318782
3203,8.079363101,-0.013330526
3204,8.081885024,-0.0133422
3205,8.084406793,-0.013353467
3206,8.086928562,-0.01336404
3207,8.089450062,-0.01337392
3208,8.091971563,-0.013382957
3209,8.094493414,-0.013390899
3210,8.097015261,-0.013397595
3211,8.099537222,-0.013402882
3212,8.102059183,-0.013406624
3213,8.104580986,-0.013408587
3214,8.107102793,-0.013408751
3215,8.109625024,-0.013407179
3216,8.112147255,-0.013403854
3217,8.114669371,-0.013399076
3218,8.117191486,-0.013393054
3219,8.119712948,-0.013385893
3220,8.122234409,-0.013377837
3221,8.12475625,-0.013369277
3222,8.127278097,-0.013360335
3223,8.129800519,-0.013351064
3224,8.132322942,-0.013341709
3225,8.134845438,-0.01333241
3226,8.137367939,-0.013323312
3227,8.139889784,-0.013314531
3228,8.142411631,-0.013306063
3229,8.144934549,-0.013297928
3230,8.147457472,-0.013290115
3231,8.149980011,-0.013282672
3232,8.15250255,-0.013275782
3233,8.155024395,-0.013269513
3234,8.157546242,-0.01326404
3235,8.160067972,-0.01325956
3236,8.162589703,-0.013256045
3237,8.165112202,-0.013253428
3238,8.167634703,-0.013251704
3239,8.170157241,-0.013250839
3240,8.17267978,-0.013250707
3241,8.175202741,-0.013251113
3242,8.177725702,-0.013251905
3243,8.180247395,-0.013252934
3244,8.182769088,-0.013254263
3245,8.185291053,-0.013256121
3246,8.187813014,-0.013258561
3247,8.19033513,-0.013261695
3248,8.192857245,-0.013265725
3249,8.195379245,-0.013270597
3250,8.197901246,-0.013276215
3251,8.200423361,-0.013282623
3252,8.202945476,-0.013289918
3253,8.205467827,-0.013298167
3254,8.207990174,-0.013307388
3255,8.210513289,-0.013317767
3256,8.213036404,-0.0133293
3257,8.215558712,-0.01334174
3258,8.218081019,-0.013355001
3259,8.22060325,-0.013368851
3260,8.223125481,-0.013383139
3261,8.225647899,-0.013397933
3262,8.228170322,-0.013413015
3263,8.23069263,-0.013428285
3264,8.233214937,-0.013443753
3265,8.23573689,-0.013459322
3266,8.238258851,-0.013474909
3267,8.24078139,-0.013490346
3268,8.243303929,-0.013505437
3269,8.245825928,-0.013520054
